job_role,country,is_remote,schedule_type,posted_date,salary_year_avg,no_degree_required,health_insurance,python,sql,aws,spark,r,azure,tableau,java,snowflake,hadoop,power bi,job_skills_clean
Senior Data Scientist,United States,False,Full-time,2023-06-28,125000.0,False,True,1,1,0,0,1,0,1,0,0,0,1,"['sql', 'python', 'r', 'tableau', 'looker', 'power bi']"
Data Engineer,United States,False,Full-time,2023-03-08,117500.0,False,False,0,0,0,0,0,0,0,0,0,0,0,['qlik']
Data Engineer,United States,True,Full-time,2023-02-15,120000.0,False,False,0,0,1,0,0,1,0,0,0,0,0,"['azure', 'aws']"
Data Scientist,United States,False,Full-time,2023-01-14,100000.0,False,True,1,0,0,0,0,0,0,0,0,0,0,['python']
Data Scientist,United States,False,Full-time,2023-08-13,144850.0,False,False,1,1,0,0,1,0,0,0,0,0,0,"['python', 'r', 'sql', 'c']"
Data Scientist,United States,False,Full-time,2023-02-13,112500.0,False,False,1,1,0,0,1,0,1,0,1,0,0,"['python', 'sql', 'r', 'snowflake', 'pandas', 'scikit-learn', 'keras', 'tensorflow', 'tableau', 'github']"
Senior Data Engineer,United States,False,Full-time,2023-05-01,375000.0,False,True,0,0,0,0,0,0,0,0,0,0,1,"['power bi', 'dax']"
Data Engineer,United States,False,Full-time,2023-06-22,90000.0,False,False,1,1,1,1,0,0,0,0,0,0,0,"['sql', 'python', 'sql server', 'aws', 'redshift', 'spark']"
Data Engineer,Sudan,False,Full-time,2023-10-09,250000.0,False,False,1,1,0,0,0,0,0,0,0,0,0,"['python', 'scala', 'sql']"
Data Engineer,United States,False,Contractor,2023-06-23,112500.0,False,False,1,0,1,0,0,0,1,0,0,0,1,"['python', 'scala', 'aws', 'redshift', 'oracle', 'power bi', 'tableau', 'flow']"
Data Engineer,United States,False,Full-time,2023-03-13,131000.0,False,False,0,1,1,0,0,0,0,0,1,0,1,"['sql', 'sql server', 'aws', 'snowflake', 'oracle', 'redshift', 'sap', 'power bi']"
Data Engineer,Sudan,True,Full-time,2023-04-20,90000.0,False,False,0,1,0,1,0,1,0,0,0,0,0,"['sql', 'azure', 'databricks', 'spark']"
Senior Data Scientist,United States,False,Full-time,2023-02-16,125000.0,False,False,0,0,0,0,0,0,1,0,0,0,0,['tableau']
Data Engineer,United States,False,Contractor,2023-02-03,70000.0,False,False,0,1,1,0,0,0,0,0,1,0,0,"['sql', 'db2', 'sql server', 'snowflake', 'oracle', 'aws']"
Senior Data Scientist,United States,False,Full-time,2023-05-03,170000.0,False,False,1,1,0,0,0,0,0,0,0,0,0,"['python', 'sql']"
Data Engineer,United States,False,Full-time,2023-09-29,200000.0,False,False,1,1,0,1,0,0,0,0,0,0,0,"['python', 'sql', 'mongodb', 'mongodb', 'spark', 'airflow', 'pandas', 'jupyter', 'graphql']"
Data Scientist,United States,False,Full-time,2023-11-29,361000.0,False,True,1,1,0,0,1,0,0,0,0,0,0,"['r', 'python', 'sql']"
Senior Data Engineer,Canada,False,Full-time,2023-08-14,200000.0,True,False,0,0,0,0,0,0,0,0,1,0,0,"['snowflake', 'react']"
Data Engineer,United States,False,Full-time,2023-12-16,125000.0,False,True,0,1,1,0,0,0,1,0,1,0,0,"['sql', 'snowflake', 'aws', 'tableau']"
Senior Data Scientist,United States,False,Full-time,2023-01-04,180000.0,False,False,1,1,1,1,0,0,0,0,0,0,0,"['python', 'sql', 'aws', 'tensorflow', 'spark', 'airflow', 'docker']"
Data Scientist,United States,False,Full-time,2023-12-29,192000.0,False,True,1,1,0,0,1,0,0,0,0,0,0,"['python', 'r', 'sql']"
Data Engineer,United States,False,Full-time,2023-08-29,100000.0,False,True,1,0,0,1,1,0,0,1,0,0,1,"['python', 'java', 'r', 'spark', 'tensorflow', 'scikit-learn', 'phoenix', 'excel', 'power bi']"
Data Engineer,United States,False,Full-time,2023-04-05,125000.0,False,False,0,0,0,0,0,0,0,0,0,0,0,['flow']
Data Engineer,United States,False,Full-time,2023-07-31,100000.0,True,True,0,1,0,0,0,0,0,0,0,0,0,"['sql', 'sql server']"
Data Engineer,United States,False,Full-time,2023-03-27,122500.0,False,False,1,1,1,0,0,1,0,0,0,0,0,"['sql', 'python', 'sql server', 'dynamodb', 'neo4j', 'aws', 'aurora', 'redshift', 'azure', 'jira']"
Data Engineer,United States,False,Full-time,2023-12-22,136000.0,False,False,0,1,0,0,0,0,0,0,1,0,1,"['sql', 'snowflake', 'power bi']"
Data Scientist,United States,False,Full-time,2023-07-31,160000.0,False,False,1,1,0,0,0,0,1,0,0,0,0,"['sql', 'python', 'excel', 'tableau']"
Data Scientist,United States,False,Full-time,2023-03-22,115000.0,False,True,1,0,0,0,1,0,0,0,0,0,0,"['python', 'r', 'pytorch', 'tensorflow', 'keras']"
Data Engineer,United States,True,Full-time,2023-06-17,150000.0,False,True,1,1,1,0,0,0,0,0,0,0,0,"['sql', 'python', 'aws', 'redshift', 'airflow', 'linux', 'git', 'terraform']"
Data Engineer,United States,False,Full-time,2023-08-03,165000.0,False,True,0,1,1,0,0,1,0,0,0,0,0,"['sql', 'sql server', 'postgresql', 'dynamodb', 'aws', 'azure', 'redshift']"
