job_role,country,is_remote,schedule_type,posted_date,salary_year_avg,no_degree_required,health_insurance,sql,python,excel,tableau,r,power bi,job_skills_clean
Data Analyst,United States,False,Full-time,2023-10-17,55000.0,False,True,0,1,1,1,1,0,"['php', 'python', 'r', 'mysql', 'aws', 'linux', 'excel', 'tableau']"
Data Analyst,United States,False,Full-time,2023-06-21,240000.0,False,True,1,1,0,0,0,0,"['python', 'sql']"
Senior Data Analyst,United States,False,Full-time,2023-01-19,112500.0,False,False,1,0,1,0,0,1,"['sql', 'snowflake', 'power bi', 'excel']"
Data Analyst,United States,False,Full-time,2023-01-23,112500.0,False,False,1,0,0,0,0,0,['sql']
Data Analyst,Netherlands,False,Full-time,2023-12-21,155000.0,False,False,0,0,0,0,0,0,['sap']
Data Analyst,United States,False,Full-time,2023-02-13,86400.0,False,True,1,0,1,0,0,0,"['sql', 'excel']"
Data Analyst,United States,False,Contractor,2023-01-20,75000.0,True,False,0,0,0,0,0,0,['flow']
Data Analyst,United States,False,Full-time,2023-06-20,94500.0,False,True,1,1,0,1,1,1,"['python', 'r', 'sql', 'aws', 'azure', 'pandas', 'numpy', 'scikit-learn', 'hadoop', 'spark', 'tableau', 'power bi']"
Data Analyst,United States,False,Full-time,2023-12-18,55000.0,True,False,0,0,1,0,0,0,"['word', 'excel', 'terminal']"
Senior Data Analyst,United States,True,Full-time,2023-01-21,95150.0,False,False,1,0,1,0,0,0,"['crystal', 'visual basic', 'sql', 'excel', 'word']"
Senior Data Analyst,United States,False,Full-time,2023-09-28,136323.0,False,True,1,1,0,1,1,0,"['python', 'sql', 'r', 'sql server', 'bigquery', 'airflow', 'tableau', 'slack']"
Data Analyst,Peru,False,Full-time,2023-05-06,111175.0,False,False,0,0,0,1,0,1,"['power bi', 'tableau']"
Data Analyst,United States,False,Full-time,2023-05-09,55000.0,True,True,0,0,1,0,0,1,"['go', 'excel', 'power bi', 'flow']"
Data Analyst,United States,False,Full-time,2023-08-15,140000.0,False,False,1,1,0,0,1,1,"['r', 'python', 'sql', 'azure', 'databricks', 'power bi', 'git']"
Data Analyst,United States,False,Full-time,2023-07-27,127500.0,True,True,1,0,0,0,0,0,"['shell', 'sql', 'linux']"
Business Analyst,United States,False,Full-time,2023-07-12,90000.0,False,False,0,0,1,0,0,0,"['excel', 'powerpoint', 'outlook']"
Data Analyst,United States,False,Full-time,2023-04-29,95000.0,False,False,1,1,0,0,1,0,"['sql', 'r', 'sas', 'sas', 'python', 'azure']"
Data Analyst,United States,False,Part-time,2023-07-25,100500.0,True,False,1,1,0,0,0,0,"['python', 'sql', 'numpy', 'pandas', 'zoom', 'slack']"
